,Player,Team,Years Remaining,Price,Position,,,,
,Josh Allen,Boulton Coopers,3,40,QB,,,,
,Josh Jacobs,Groby Griffins,2,45,RB,,,,
,James Robinson,Boulton Coopers,1,4,RB,,,,
,Cooper Kupp,Boulton Coopers,3,44,WR,,,,
,DJ Moore,Groby Griffins,3,42,WR,,,,
,Darren Waller,Warrington Brewers,1,16,TE,,,,
,Courtland Sutton,Groby Griffins,1,44,WR,,,,
,Los Angeles Rams,Boulton Coopers,1,5,DST,,,,
,Marlon Mack,Boulton Coopers,1,6,RB,,,,
,Allen Lazard,Boulton Coopers,1,16,WR,,,,
,Isaiah Spiller,Boulton Coopers,3,11,RB,,,,
,Wan'Dale Robinson,Boulton Coopers,3,7,WR,,,,
,Kyren Williams,Boulton Coopers,3,4,RB,,,,
,Desmond Ridder,Boulton Coopers,3,2,QB,,,,
,Cade Otton,Boulton Coopers,3,2,RB,,,,
,Aaron Jones,Boulton Coopers,2,50,RB,,,,
,Jason Myers,Boulton Coopers,1,1,K,,,,
,Mark Ingram II,Boulton Coopers,1,6,RB,,,,
,Darrel Williams,Boulton Coopers,1,3,RB,,,,
,Jacoby Brissett,Boulton Coopers,1,1,QB,,,,
,New York Jets,Boulton Coopers,1,1,DST,,,,
,Matthew Stafford,Burbage Twitchers,3,13,QB,,,,
,Christian McCaffrey,Mallaby Mavericks,2,59,RB,,,,
,Saquon Barkley,Mallaby Mavericks,1,82,RB,,,,
,Ja'Marr Chase,Mallaby Mavericks,2,21,WR,,,,
,Deebo Samuel,Mallaby Mavericks,3,18,WR,,,,
,Marquise Brown,Mallaby Mavericks,3,17,WR,,,,
,Travis Kelce,Mallaby Mavericks,2,36,TE,,,,
,Miles Sanders,Mallaby Mavericks,1,42,RB,,,,
,Washington Commanders,Mallaby Mavericks,2,3,DST,,,,
,Tyler Bass,Mallaby Mavericks,1,4,K,,,,
,Rondale Moore,Boulton Coopers,2,7,WR,,,,
,Devin Duvernay,Mallaby Mavericks,2,4,WR,,,,
,Dan Arnold,Mallaby Mavericks,2,3,TE,,,,
,Tony Pollard,Burbage Twitchers,4,2,RB,,,,
,Chase Claypool,Burbage Twitchers,1,31,WR,,,,
,New England Patriots,Mallaby Mavericks,1,5,DST,,,,
,Irv Smith Jr.,Mallaby Mavericks,1,14,TE,,,,
,Dustin Hopkins,Mallaby Mavericks,1,3,K,,,,
,Jonnu Smith,Mallaby Mavericks,1,4,TE,,,,
,Parris Campbell,Mallaby Mavericks,1,5,WR,,,,
,Mecole Hardman,Mallaby Mavericks,2,15,WR,,,,
,Chase Edmonds,Mallaby Mavericks,4,4,RB,,,,
,Derek Carr,Mallaby Mavericks,4,7,QB,,,,
,Cade York,Mallaby Mavericks,1,3,K,,,,
,Jalen Tolbert,Mallaby Mavericks,3,2,WR,,,,
,Kenny Pickett,Mallaby Mavericks,3,1,QB,,,,
,James Cook,Mallaby Mavericks,3,4,RB,,,,
,Zach Wilson,Mallaby Mavericks,4,3,QB,,,,
,Joshua Palmer,Mallaby Mavericks,4,1,WR,,,,
,Trey Lance,Luton Longhorns,4,13,QB,,,,
,Antonio Gibson,Luton Longhorns,4,6,RB,,,,
,David Montgomery,Luton Longhorns,2,20,RB,,,,
,CeeDee Lamb,Luton Longhorns,2,12,WR,,,,
,Brandin Cooks,Luton Longhorns,1,39,WR,,,,
,Adam Thielen,Burbage Twitchers,1,60,WR,,,,
,Dallas Goedert,Luton Longhorns,3,6,TE,,,,
,Riley Patterson,Warrington Brewers,1,1,K,,,,
,Craig Reynolds,Burbage Twitchers,1,1,WR,,,,
,Cordarrelle Patterson,Luton Longhorns,1,25,RB,,,,
,Indianapolis Colts,Luton Longhorns,3,4,DST,,,,
,Daniel Carlson,Luton Longhorns,3,5,K,,,,
,Ryan Tannehill,Luton Longhorns,2,5,QB,,,,
,Chubba Hubbard,Groby Griffins,2,11,RB,,,,
,Sammy Watkins,Luton Longhorns,2,9,WR,,,,
,San Francisco 49ers,Luton Longhorns,1,7,DST,,,,
,Ameer Abdullah,Luton Longhorns,1,4,RB,,,,
,Kareem Hunt,Luton Longhorns,1,22,RB,,,,
,Tyler Lockett,Luton Longhorns,2,26,WR,,,,
,Foster Moreau,Luton Longhorns,2,1,TE,,,,
,Jimmy Garoppolo,Luton Longhorns,1,1,QB,,,,
,Zack Moss,Luton Longhorns,1,8,RB,,,,
,Chris Godwin,Luton Longhorns,1,60,WR,,,,
,Pierre Strong Jr.,Luton Longhorns,3,1,RB,,,,
,Anthony Schwartz,Luton Longhorns,4,1,WR,,,,
,Garrett Wilson,Luton Longhorns,3,5,WR,,,,
,Rachaad White,Luton Longhorns,3,2,RB,,,,
,Isiah Pacheco,Luton Longhorns,3,1,RB,,,,
,Justin Herbert,Warrington Brewers,2,8,QB,,,,
,Leonard Fournette,Warrington Brewers,2,10,RB,,,,
,Austin Ekeler,Boulton Coopers,3,45,RB,,,,
,Mike Evans,Groby Griffins,3,55,WR,,,,
,Allen Robinson II,Boulton Coopers,2,32,WR,,,,
,Dalton Schultz,Polgooth Pirates,3,2,TE,,,,
,Amari Cooper,Mallaby Mavericks,2,46,WR,,,,
,Miami Dolphins,Warrington Brewers,2,5,DST,,,,
,Harrison Butker,Warrington Brewers,3,5,K,,,,
,Daniel Jones,Groby Griffins,2,10,QB,,,,
,Jared Goff,Warrington Brewers,2,5,QB,,,,
,Kyle Pitts,Warrington Brewers,2,10,TE,,,,
,Cleveland Browns,Warrington Brewers,3,3,DST,,,,
,Olamide Zaccheaus,Warrington Brewers,3,2,WR,,,,
,Minnesota Vikings,Warrington Brewers,1,2,DST,,,,
,Jake Elliott,Warrington Brewers,1,3,K,,,,
,Isaiah McKenzie,Blighty Bulldogs,2,10,WR,,,,
,Jakobi Meyers,Warrington Brewers,3,6,WR,,,,
,Keaontay Ingram,Warrington Brewers,3,2,RB,,,,
,Jaelon Darden,Warrington Brewers,4,2,WR,,,,
,Kyle Phillips,Warrington Brewers,3,1,WR,,,,
,Tutu Atwell,Warrington Brewers,4,1,WR,,,,
,Tyler Badie,Warrington Brewers,3,1,RB,,,,
,Tylan Wallace,Warrington Brewers,4,2,WR,,,,
,Dez Fitzpatrick,Warrington Brewers,4,2,WR,,,,
,Jalen Hurts,Maidwell 69ers,3,9,QB,,,,
,Ezekiel Elliott,Boulton Coopers,2,77,RB,,,,
,AJ Dillon,Maidwell 69ers,1,8,RB,,,,
,Amon-Ra St. Brown,Maidwell 69ers,2,13,WR,,,,
,Keenan Allen,Maidwell 69ers,1,35,WR,,,,
,Tyler Boyd,Luton Longhorns,2,12,WR,,,,
,Noah Fant,Maidwell 69ers,1,12,TE,,,,
,Zach Ertz,Maidwell 69ers,1,31,TE,,,,
,Denver Broncos,Maidwell 69ers,1,3,DST,,,,
,Younghoe Koo,Maidwell 69ers,1,3,K,,,,
,Josh Reynolds,Maidwell 69ers,2,2,WR,,,,
,Brandon McManus,Maidwell 69ers,3,2,K,,,,
,Kansas City Chiefs,Maidwell 69ers,2,4,DST,,,,
,Marquez Valdes-Scantling,Maidwell 69ers,4,2,WR,,,,
,Joe Burrow,Maidwell 69ers,2,22,QB,,,,
,Marquez Callaway,Maidwell 69ers,4,1,WR,,,,
,Isaiah Likely,Maidwell 69ers,3,1,TE,,,,
,Damien Harris,Maidwell 69ers,1,5,RB,,,,
,DeAndre Hopkins,Maidwell 69ers,1,58,WR,,,,
,Travis Etienne Jr.,Maidwell 69ers,4,18,RB,,,,
,Hunter Renfrow,Maidwell 69ers,5,3,WR,,,,
,Robert Woods,Maidwell 69ers,2,14,WR,,,,
,Jeff Wilson Jr.,Polgooth Pirates,1,10,RB,,,,
,Chris Evans,Maidwell 69ers,4,1,RB,,,,
,Donovan Peoples-Jones,Maidwell 69ers,4,1,WR,,,,
,Breece Hall,Maidwell 69ers,3,7,RB,,,,
,Christian Watson,Maidwell 69ers,3,2,WR,,,,
,Tyler Allgeier,Maidwell 69ers,3,2,RB,,,,
,Jahan Dotson,Maidwell 69ers,3,3,WR,,,,
